timestamp_s,throttle,rpm,true_cht,egt,oil_temp,oil_pressure,fuel_flow
0.0,0.25,1450.0,52.0,335.63,42.0,51.62,4.295
1.0,0.25,1549.1,52.6,338.87,42.49,53.34,4.593
2.0,0.25,1608.9,52.61,338.94,42.85,54.13,4.772
3.0,0.25,1651.2,52.87,340.34,43.42,55.22,4.899
4.0,0.25,1678.6,54.14,347.24,43.44,54.91,4.981
5.0,0.25,1698.1,54.53,349.32,43.25,56.05,5.04
6.0,0.25,1707.5,54.79,350.74,43.09,56.81,5.068
7.0,0.25,1711.9,54.86,351.15,42.88,56.34,5.081
8.0,0.25,1720.8,55.05,352.18,42.72,56.67,5.108
9.0,0.25,1716.4,55.27,353.35,42.58,56.78,5.095
10.0,0.25,1724.4,55.95,357.04,42.75,56.96,5.119
11.0,0.25,1729.0,56.59,360.49,43.11,56.83,5.133
12.0,0.25,1727.8,57.3,364.34,42.98,56.63,5.129
13.0,0.25,1730.0,57.09,363.23,43.05,56.52,5.135
14.0,0.25,1727.7,57.25,364.08,42.79,56.57,5.129
15.0,0.25,1725.5,56.95,362.45,42.59,56.48,5.122
16.0,0.25,1731.5,58.06,368.48,42.91,56.38,5.14
17.0,0.25,1732.6,58.39,370.28,42.95,57.55,5.143
18.0,0.25,1740.5,58.31,369.81,43.22,57.23,5.167
19.0,0.25,1748.4,58.34,369.98,42.91,57.11,5.191
20.0,0.25,1746.2,58.87,372.85,42.92,57.64,5.184
21.0,0.25,1743.1,57.87,367.43,42.77,56.89,5.175
22.0,0.25,1746.6,57.72,366.64,42.47,56.9,5.185
23.0,0.25,1735.3,57.67,366.38,42.37,57.58,5.151
24.0,0.25,1729.8,57.28,364.23,42.28,56.86,5.135
25.0,0.25,1730.1,57.73,366.67,42.35,56.99,5.136
26.0,0.25,1732.4,57.65,366.26,42.87,56.91,5.143
27.0,0.25,1733.1,57.75,366.79,43.41,57.07,5.145
28.0,0.25,1733.7,58.21,369.28,43.44,56.98,5.146
29.0,0.25,1736.5,58.47,370.72,43.41,56.72,5.155
30.0,0.25,1735.6,59.0,373.57,43.15,56.62,5.152
31.0,0.25,1737.2,59.79,377.87,43.23,57.54,5.157
32.0,0.25,1737.0,60.03,379.17,43.29,57.1,5.157
33.0,0.25,1733.6,60.2,380.08,43.27,57.13,5.146
34.0,0.25,1730.3,60.76,383.09,43.39,56.93,5.136
35.0,0.25,1727.2,60.13,379.68,43.37,57.16,5.127
36.0,0.25,1730.8,60.06,379.32,43.4,57.18,5.138
37.0,0.25,1730.9,60.24,380.29,43.0,56.19,5.138
38.0,0.25,1739.0,59.83,378.09,42.96,57.0,5.162
39.0,0.25,1737.9,60.13,379.72,42.85,57.19,5.159
40.0,0.25,1744.2,60.64,382.47,43.23,56.86,5.178
41.0,0.25,1736.6,60.64,382.44,43.35,57.19,5.155
42.0,0.25,1736.1,60.38,381.06,43.36,56.48,5.154
43.0,0.25,1730.4,60.46,381.47,43.43,57.0,5.137
44.0,0.25,1731.1,60.58,382.11,43.79,56.82,5.139
45.0,0.25,1735.6,60.32,380.72,43.95,56.79,5.152
46.0,0.25,1734.0,59.84,378.11,44.11,57.38,5.148
47.0,0.25,1733.4,59.63,377.0,44.08,56.21,5.146
48.0,0.25,1735.7,59.15,374.39,43.88,57.13,5.153
49.0,0.25,1743.3,59.14,374.31,44.37,56.81,5.175
50.0,0.25,1737.5,59.45,376.0,44.54,56.77,5.158
51.0,0.25,1732.9,59.93,378.63,44.6,56.99,5.144
52.0,0.25,1731.4,60.58,382.15,44.78,56.82,5.14
53.0,0.25,1732.3,60.53,381.84,44.7,57.61,5.142
54.0,0.25,1730.5,60.27,380.45,44.3,57.07,5.137
55.0,0.25,1733.3,60.41,381.19,44.36,57.02,5.145
56.0,0.25,1737.2,59.88,378.33,44.43,57.07,5.157
57.0,0.25,1732.0,59.77,377.72,44.47,56.67,5.141
58.0,0.25,1739.6,60.13,379.69,44.7,57.9,5.164
59.0,0.25,1732.9,59.87,378.29,44.58,57.43,5.144
60.0,0.25,1735.2,59.7,377.34,44.95,56.62,5.151
61.0,0.25,1735.9,59.65,377.11,45.12,57.02,5.153
62.0,0.25,1743.2,59.67,377.18,45.34,56.85,5.175
63.0,0.25,1738.3,60.61,382.3,45.68,56.44,5.16
64.0,0.25,1737.4,60.57,382.06,45.79,57.65,5.158
65.0,0.25,1738.6,60.76,383.1,45.5,56.21,5.161
66.0,0.25,1740.8,60.92,383.96,45.75,57.41,5.168
67.0,0.25,1738.1,60.93,384.04,45.61,57.12,5.16
68.0,0.25,1744.1,60.94,384.06,45.55,56.23,5.178
69.0,0.25,1736.5,61.29,385.98,45.7,57.02,5.155
70.0,0.25,1732.3,61.57,387.51,45.7,56.57,5.142
71.0,0.25,1733.1,61.6,387.67,45.75,56.72,5.145
72.0,0.25,1730.0,62.12,390.51,45.85,56.49,5.135
73.0,0.25,1725.2,62.32,391.55,45.59,56.75,5.121
74.0,0.25,1733.4,62.26,391.21,45.53,56.96,5.146
75.0,0.25,1737.0,62.55,392.83,45.5,57.21,5.156
76.0,0.25,1727.0,62.9,394.72,45.81,57.01,5.127
77.0,0.25,1732.7,62.7,393.62,45.68,57.31,5.144
78.0,0.25,1737.4,62.8,394.18,45.94,57.35,5.158
79.0,0.25,1731.7,62.85,394.44,46.09,56.77,5.141
80.0,0.25,1737.1,63.71,399.08,46.04,57.23,5.157
81.0,0.25,1729.8,63.99,400.63,45.92,56.63,5.135
82.0,0.25,1728.7,63.93,400.26,45.83,57.03,5.131
83.0,0.25,1729.2,64.1,401.23,45.66,57.26,5.133
84.0,0.25,1732.2,64.77,404.83,45.64,56.51,5.142
85.0,0.25,1733.9,64.44,403.06,45.8,57.15,5.147
86.0,0.25,1734.3,64.74,404.7,45.92,56.81,5.148
87.0,0.25,1730.3,65.09,406.56,45.87,56.94,5.136
88.0,0.25,1737.2,65.0,406.09,45.88,57.42,5.157
89.0,0.25,1738.4,65.36,408.03,45.99,56.84,5.161
90.0,0.25,1734.4,65.28,407.62,45.74,56.81,5.149
91.0,0.25,1731.5,65.42,408.38,45.78,57.71,5.14
92.0,0.25,1737.5,65.69,409.83,45.48,56.16,5.158
93.0,0.25,1738.5,65.59,409.27,45.42,57.82,5.161
94.0,0.25,1733.0,65.57,409.19,45.11,57.75,5.144
95.0,0.25,1731.3,65.86,410.75,44.99,56.3,5.139
96.0,0.25,1735.8,65.75,410.18,44.88,57.67,5.153
97.0,0.25,1726.9,65.27,407.57,44.82,56.72,5.126
98.0,0.25,1725.2,64.91,405.6,45.03,56.43,5.121
99.0,0.25,1730.3,65.39,408.18,44.94,56.97,5.136
100.0,0.25,1726.1,65.42,408.38,45.14,56.26,5.124
101.0,0.25,1734.5,65.69,409.85,45.29,57.02,5.149
102.0,0.25,1729.4,65.59,409.29,45.15,57.27,5.134
103.0,0.25,1724.9,64.96,405.87,45.16,56.86,5.12
104.0,0.25,1721.9,64.8,405.03,45.15,57.44,5.111
105.0,0.25,1725.4,64.47,403.23,45.01,56.82,5.122
106.0,0.25,1726.0,64.52,403.49,45.0,56.43,5.123
107.0,0.25,1724.9,64.86,405.33,44.58,57.16,5.12
108.0,0.25,1727.7,64.86,405.34,44.65,56.58,5.129
109.0,0.25,1726.0,64.43,402.97,44.89,56.75,5.123
110.0,0.25,1729.0,64.32,402.43,44.95,56.93,5.133
111.0,0.25,1732.7,64.43,402.98,44.98,57.25,5.144
112.0,0.25,1734.1,64.48,403.28,44.68,56.38,5.148
113.0,0.25,1729.3,64.37,402.66,44.85,57.29,5.133
114.0,0.25,1733.9,64.34,402.52,44.97,56.57,5.147
115.0,0.25,1734.1,64.69,404.41,45.21,57.5,5.148
116.0,0.25,1736.9,64.82,405.13,45.47,56.63,5.156
117.0,0.25,1739.5,64.5,403.38,45.35,57.85,5.164
118.0,0.25,1735.7,64.15,401.5,45.31,56.54,5.153
119.0,0.25,1737.9,64.36,402.61,45.59,56.82,5.159
120.0,0.95,1980.5,66.06,411.85,45.65,61.87,22.524
121.0,0.95,2152.6,68.01,422.42,46.13,65.17,24.485
122.0,0.95,2262.0,69.74,431.8,46.4,66.73,25.732
123.0,0.95,2346.4,71.54,441.56,46.7,68.88,26.695
124.0,0.95,2401.9,73.31,451.13,47.34,69.44,27.327
125.0,0.95,2433.2,74.88,459.66,47.79,70.32,27.684
126.0,0.95,2462.7,76.17,466.65,48.31,70.51,28.021
127.0,0.95,2479.6,78.06,476.87,49.02,70.96,28.213
128.0,0.95,2501.8,79.53,484.86,49.71,71.27,28.466
129.0,0.95,2509.4,81.46,495.32,50.27,70.64,28.552
130.0,0.95,2523.0,82.91,503.14,50.83,71.62,28.708
131.0,0.95,2526.1,84.11,509.65,51.47,71.43,28.743
132.0,0.95,2521.8,85.71,518.35,51.72,72.21,28.694
133.0,0.95,2523.6,87.12,526.0,51.88,71.27,28.714
134.0,0.95,2524.5,88.21,531.9,52.31,71.24,28.725
135.0,0.95,2527.7,89.07,536.53,52.88,72.02,28.761
136.0,0.95,2520.1,90.57,544.66,53.56,71.36,28.675
137.0,0.95,2520.2,91.73,550.97,53.99,71.42,28.675
138.0,0.95,2518.9,93.14,558.62,54.62,71.18,28.661
139.0,0.95,2521.3,94.5,565.96,55.11,71.68,28.688
140.0,0.95,2522.8,95.92,573.67,55.24,71.66,28.705
141.0,0.95,2524.3,97.08,579.99,55.7,71.5,28.723
142.0,0.95,2526.8,98.35,586.84,56.33,71.8,28.75
143.0,0.95,2525.0,99.28,591.86,56.59,71.29,28.731
144.0,0.95,2527.7,100.84,600.34,57.06,71.04,28.761
145.0,0.95,2524.8,101.81,605.58,57.35,70.88,28.729
146.0,0.95,2522.8,103.24,613.35,57.68,71.58,28.705
147.0,0.95,2524.4,104.33,619.27,57.99,71.45,28.723
148.0,0.95,2524.9,105.58,626.01,58.37,71.49,28.729
149.0,0.95,2520.5,107.04,633.93,58.48,71.94,28.679
150.0,0.95,2530.4,107.78,637.96,59.03,71.56,28.792
151.0,0.95,2524.3,109.01,644.6,59.59,72.12,28.723
152.0,0.95,2518.0,109.76,648.72,60.14,71.56,28.651
153.0,0.95,2524.2,110.78,654.2,60.29,71.86,28.722
154.0,0.95,2526.1,111.57,658.52,60.75,71.94,28.743
155.0,0.95,2526.9,112.5,663.56,61.27,71.55,28.752
156.0,0.95,2523.3,112.96,666.06,61.68,71.2,28.711
157.0,0.95,2517.8,113.96,671.45,61.83,70.22,28.648
158.0,0.95,2518.7,114.49,674.31,62.04,70.77,28.658
159.0,0.95,2520.0,115.39,679.2,62.64,71.7,28.674
160.0,0.95,2521.1,116.16,683.39,62.91,71.99,28.687
161.0,0.95,2522.3,116.83,687.01,63.07,70.98,28.699
162.0,0.95,2527.6,117.83,692.42,63.21,71.79,28.76
163.0,0.95,2521.9,118.89,698.2,63.38,71.45,28.696
164.0,0.95,2514.8,120.03,704.34,63.79,71.73,28.614
165.0,0.95,2516.0,119.85,703.35,63.67,71.75,28.628
166.0,0.95,2511.7,120.84,708.72,63.68,71.27,28.579
167.0,0.95,2504.4,121.49,712.28,63.65,71.34,28.496
168.0,0.95,2516.5,122.08,715.48,64.07,71.65,28.633
169.0,0.95,2519.4,123.27,721.89,64.15,71.48,28.666
170.0,0.95,2518.2,124.31,727.56,64.05,70.55,28.652
171.0,0.95,2518.3,125.36,733.23,64.29,71.55,28.654
172.0,0.95,2526.9,125.75,735.38,64.64,71.37,28.752
173.0,0.95,2530.3,126.56,739.75,64.79,71.42,28.791
174.0,0.95,2531.8,126.48,739.3,64.95,71.75,28.808
175.0,0.95,2530.5,126.71,740.57,65.47,71.93,28.793
176.0,0.95,2524.1,127.09,742.6,66.02,71.08,28.72
177.0,0.95,2523.4,127.51,744.87,66.34,71.79,28.712
178.0,0.95,2519.6,127.68,745.82,66.5,71.58,28.669
179.0,0.95,2529.0,128.65,751.06,66.88,72.05,28.776
180.0,0.95,2523.1,129.09,753.43,67.15,71.38,28.709
181.0,0.95,2518.0,129.19,754.0,67.39,71.46,28.65
182.0,0.95,2513.2,129.25,754.35,67.85,71.45,28.596
183.0,0.95,2519.6,129.74,756.98,67.8,71.17,28.669
184.0,0.95,2514.2,130.06,758.71,68.06,71.48,28.607
185.0,0.95,2519.5,130.63,761.78,68.31,71.26,28.668
186.0,0.95,2521.9,130.86,763.05,69.04,71.3,28.695
187.0,0.95,2521.6,131.43,766.14,69.16,71.27,28.691
188.0,0.95,2532.2,132.17,770.16,69.54,71.71,28.812
189.0,0.95,2527.3,132.3,770.88,69.79,71.69,28.756
190.0,0.95,2528.1,132.9,774.11,69.98,72.34,28.765
