mission_type,mission_seed,fault_label,timestamp_s,true_cht,sensor_cht,egt,rpm,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,injection_timing,health_index,altitude,ambient_temp,throttle,fault_type,fault_severity,rul_seconds
endurance,5,healthy,0.0,28.07385734032746,27.947811275525922,546.0647853448487,1944.6145398250635,69.47648217891222,25.311362268781,20.900323312640282,0.20938016129185177,13.156637658794425,20.486154237401557,0.8585533701499048,8.0,14.947999999999979,0.9,none,0.0,
endurance,5,healthy,1.0,31.25802920394359,31.07861473044297,551.7867322987202,2090.9130834016287,71.02710357249308,26.822678733312905,22.636955054157376,0.2928665503615656,13.212000447938097,19.959024697882484,0.8550197354242569,16.0,14.896000000000015,0.9,none,0.0,
endurance,5,healthy,2.0,34.491933093185,34.06350651582695,551.6672697504275,2208.6694393201337,72.8678433964763,27.262391719116824,23.821480201993978,0.202957212160952,13.371450782899165,19.803878422956277,0.8514309105831712,24.0,14.843999999999994,0.9,none,0.0,
endurance,5,healthy,3.0,37.73454023452503,38.131066894256016,556.7063723409403,2287.2404146298213,72.99962620831106,27.54956457202321,24.626730776941677,0.2124608829282454,13.38570725162522,19.978813911588514,0.8478324273080691,32.0,14.791999999999973,0.9,none,0.0,
endurance,5,healthy,4.0,40.958250237550985,41.73901638427543,561.9765427778468,2337.2714969554404,73.56663896905293,28.427126930540012,25.171437647417783,0.21348062032233506,13.484020377626223,19.982624878744474,0.8442549151322111,40.0,14.740000000000009,0.9,none,0.0,
endurance,5,healthy,5.0,44.144680275445054,43.976512145876775,566.8356276838889,2382.5467556079457,73.9455888187726,28.267644226152633,25.537165657755317,0.16552173839759096,13.49594326859043,20.098888079624217,0.8407187743976581,48.0,14.687999999999988,0.9,none,0.0,
endurance,5,healthy,6.0,47.28177049060767,48.4118238774678,573.2849921731236,2400.532158438744,73.83445217910467,30.07981462479485,25.7799476054718,0.18796444288679653,13.51138413731837,19.97856720303517,0.8372373885313814,56.0,14.636000000000024,0.9,none,0.0,
endurance,5,healthy,7.0,50.361794296874855,50.95632465978713,575.1960215089018,2402.206597327404,74.59465229809277,29.320687544741453,25.938276469380458,0.27693780727045186,13.492234319018648,20.002551663341233,0.8338193321123764,64.0,14.584000000000003,0.9,none,0.0,
endurance,5,healthy,8.0,53.37999079014745,52.681453777813324,582.0540975989949,2426.7072803065507,74.000551216068,30.797527182405457,26.03859585364771,0.3044257343798858,13.449268426128015,19.767059617976923,0.8304698885539672,72.0,14.531999999999982,0.9,none,0.0,
endurance,5,healthy,9.0,56.33362485074747,56.84283541734144,586.5535425298025,2431.676859081183,74.25896650310797,31.191528306817073,26.099071773502494,0.16444183858474648,13.51245641758297,20.1553815182246,0.8271920931552164,80.0,14.480000000000018,0.9,none,0.0,
